,Country,year,perc_share_low_CO2_kmeans_1,perc_share_low_CO2_kmeans_2,perc_share_low_CO2_kmeans_3,perc_share_low_CO2_kmeans_4,perc_share_low_CO2_kmeans_5,perc_share_low_CO2_kmeans_6,perc_share_low_CO2_kmeans_7,perc_share_low_CO2_kmeans_8,perc_share_low_CO2_kmeans_9,perc_share_low_CO2_kmeans_10,perc_share_low_CO2_kmeans_11,perc_share_low_CO2_kmeans_12,perc_share_low_CO2_kmeans_13,perc_share_low_CO2_kmeans_14,perc_share_low_CO2_kmeans_15,perc_share_low_CO2_kmeans_16,perc_share_low_CO2_kmeans_17,perc_share_low_CO2_kmeans_18,perc_share_low_CO2_kmeans_19,perc_share_low_CO2_kmeans_20,perc_share_low_CO2_kmeans_21,perc_share_low_CO2_kmeans_22,perc_share_low_CO2_kmeans_23,perc_share_low_CO2_kmeans_24,perc_share_low_CO2_kmeans_25,perc_share_low_CO2_kmeans_26,perc_share_low_CO2_kmeans_27,perc_share_low_CO2_kmeans_28,perc_share_low_CO2_kmeans_29,perc_share_low_CO2_kmeans_30
181,IT,2017,0.6912442396313364,0.22522522522522523,0.7832898172323759,0.2304147465437788,0.4750593824228029,0.0,0.4716981132075472,0.6637168141592921,0.7109004739336493,1.1235955056179776,0.8928571428571428,0.5063291139240507,0.0,0.24213075060532688,0.0,0.4514672686230248,0.7092198581560284,0.7334963325183375,0.42462845010615713,0.4705882352941176,0.6593406593406593,0.2347417840375587,0.4484304932735426,0.234192037470726,0.6818181818181818,0.4914004914004914,0.9174311926605505,0.8948545861297539,1.0204081632653061,0.2398081534772182
182,IT,2018,0.20298227808572097,0.35278779047472963,0.2247713532785615,0.18499961458413627,0.1799405413863245,0.20108275328692962,0.1531393568147014,0.22438873413803775,0.1531745423910546,0.14538220215777795,0.13845088839320052,0.24823520285470482,0.16845329249617153,0.24361493123772104,0.23882896764252695,0.23682200152788388,0.22361014727426942,0.22468427984814443,0.16281594045588463,0.17840521253490538,0.1493006443501493,0.14592933947772657,0.23162445954292774,0.24609705452587863,0.1709136109384711,0.19723865877712032,0.18547140649149924,0.3173129014782138,0.23408239700374533,0.20964360587002098
183,IT,2019,0.3593388165774974,0.317208564631245,0.2191380569758948,0.3250614445413462,0.4586793198892843,0.34164945177180994,0.2614482649342418,0.39698292973402144,0.30747398297067174,0.3365924026286264,0.26427484583967326,0.2457976530288614,0.33328043167751153,0.2883865939204988,0.3193357815743254,0.3938558487593541,0.35754012394724294,0.2869669190912714,0.34912322462905654,0.3110792055515674,0.27287319422150885,0.35363457760314343,0.30588424696128147,0.24447949526813878,0.32779021426287175,0.3134292373221892,0.3044871794871795,0.2863733990931509,0.28317470305986,0.28022417934347477
184,IT,2020,2.111183567003587,1.9730431958428063,2.312043945232434,2.0195492366103887,2.1540205684670823,1.9390805526379575,1.911444471328333,1.980857261756138,2.0141229337185043,2.037128306226384,2.001482579688658,2.2037895421647558,2.2697368421052633,1.897174770039422,2.0777316059643116,2.1163153145763265,1.99836867862969,1.957091385522437,1.8438443338500448,2.0218490135333442,1.8780487804878048,2.0342005024718373,2.0312112955164725,2.018138736824904,1.948104437798076,2.2519238558120698,2.113189215448142,1.9134433768580108,2.105691056910569,1.93653376729048
185,LT,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,LT,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,LT,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,LT,2013,0.10893246187363835,0.10649627263045794,0.0,0.0,0.0,0.0,0.0,0.2188183807439825,0.0,0.21164021164021166,0.0,0.0,0.21810250817884408,0.0,0.10245901639344263,0.33407572383073497,0.10660980810234541,0.11299435028248588,0.22197558268590456,0.10559662090813093,0.10869565217391304,0.0,0.0,0.0,0.21905805038335158,0.2185792349726776,0.10706638115631692,0.0,0.09689922480620156,0.22497187851518563
189,LT,2014,0.11806375442739078,0.2457002457002457,0.0,0.0,0.3694581280788177,0.1179245283018868,0.24783147459727387,0.23557126030624262,0.0,0.2472187886279357,0.12468827930174563,0.24271844660194172,0.12315270935960591,0.24752475247524752,0.24301336573511542,0.12594458438287154,0.0,0.11627906976744186,0.12422360248447205,0.24067388688327318,0.12091898428053204,0.12033694344163659,0.0,0.2403846153846154,0.1221001221001221,0.2380952380952381,0.1199040767386091,0.23781212841854932,0.24600246002460024,0.0
190,LT,2015,0.0,0.0,0.12091898428053204,0.580046403712297,0.37974683544303794,0.1179245283018868,0.34802784222737815,0.3712871287128713,0.12135922330097086,0.1199040767386091,0.37926675094816686,0.11655011655011654,0.24301336573511542,0.23446658851113714,0.3694581280788177,0.0,0.11947431302270012,0.3654080389768575,0.23781212841854932,0.117096018735363,0.3537735849056604,0.23837902264600713,0.12484394506866417,0.3807106598984772,0.24509803921568626,0.24479804161566704,0.1226993865030675,0.1221001221001221,0.6038647342995169,0.12195121951219512
191,LT,2016,0.7220216606498195,0.6134969325153374,0.6265664160401002,0.2503128911138924,0.5807200929152149,0.12610340479192939,0.24906600249066002,0.25157232704402516,0.3654080389768575,0.258732212160414,0.36809815950920244,0.23952095808383234,0.6195786864931847,0.24154589371980675,0.24360535931790497,0.25412960609911056,0.24630541871921183,0.4509582863585118,0.37546933667083854,0.589622641509434,0.2484472049689441,0.24600246002460024,0.49504950495049505,0.5044136191677175,0.38167938931297707,0.37267080745341613,0.4975124378109453,0.25412960609911056,0.25348542458808615,0.48543689320388345
192,LT,2017,0.0,0.0,0.0,1.1494252873563218,1.0752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708737864077669,1.2987012987012987,0.0,0.9803921568627451,1.098901098901099,0.0,0.0,0.0,2.1505376344086025,0.0,1.0309278350515463,0.0,1.0309278350515463,1.2987012987012987,0.0,0.0,0.0,0.0
193,LT,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.4975124378109453,1.0582010582010581,0.0,0.0,0.4608294930875576,0.0,0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.9433962264150944,0.45662100456621,0.0,0.0,0.5025125628140703,0.0,0.0,0.0,0.9259259259259258,0.0,0.0
194,LT,2019,0.33003300330033003,0.0,0.0,0.33670033670033667,0.0,0.3215434083601286,0.0,0.0,0.0,0.3115264797507788,0.0,0.0,0.33112582781456956,0.390625,0.2985074626865672,0.0,0.0,0.3215434083601286,0.35211267605633806,0.0,0.0,0.32573289902280134,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,LT,2020,0.27548209366391185,0.8021390374331552,0.591715976331361,0.5633802816901409,0.3021148036253776,0.0,0.2702702702702703,0.5076142131979695,0.5405405405405406,0.544959128065395,0.26455026455026454,0.0,0.8746355685131195,0.27472527472527475,0.5305039787798408,0.0,0.2840909090909091,0.5830903790087464,0.2824858757062147,0.5128205128205128,0.28735632183908044,0.8547008547008548,0.8042895442359249,1.0256410256410255,0.0,0.0,0.5405405405405406,0.821917808219178,0.2857142857142857,0.0
196,LU,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,LU,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,LU,2012,0.023359028264424198,0.023798191337458353,0.02413127413127413,0.024189646831156264,0.0,0.04862630683199611,0.0,0.049079754601226995,0.023934897079942556,0.071360608943863,0.07085498346717053,0.023446658851113716,0.023540489642184557,0.023781212841854936,0.023523876734885908,0.046992481203007516,0.0,0.024078979051288224,0.024055809477988934,0.023798191337458353,0.02397506593143131,0.02345215759849906,0.023809523809523808,0.024236548715462918,0.02403268445085316,0.024021138601969732,0.07182188173330141,0.02365744026496333,0.023769907297361538,0.04730368968779565
199,LU,2013,0.16175994823681655,0.09532888465204957,0.21334958854007927,0.2221516978736909,0.25477707006369427,0.12484394506866417,0.12574662055957245,0.19065776930409914,0.15654351909830932,0.1886199308393587,0.15787811809283234,0.06329113924050633,0.1590330788804071,0.1265022137887413,0.1575299306868305,0.06391818472355384,0.18999366687777072,0.12578616352201258,0.12662234884457108,0.09375,0.21645021645021645,0.18633540372670807,0.12622278321236985,0.25316455696202533,0.12353304508956146,0.19218449711723257,0.12594458438287154,0.09328358208955223,0.15634771732332708,0.19367333763718528
200,LU,2014,0.23094688221709006,0.22683084899546338,0.13210039630118892,0.19966722129783696,0.2348993288590604,0.2327127659574468,0.2681863895407308,0.19342359767891684,0.25999350016249595,0.2251527822450949,0.16377333770062236,0.2605014653207424,0.2348993288590604,0.35324341682723187,0.1610305958132045,0.16202203499675957,0.16233766233766234,0.13271400132714,0.1593879502709595,0.26359143327841844,0.23209549071618035,0.16666666666666669,0.230566534914361,0.19317450096587252,0.1625487646293888,0.19398642095053348,0.2923026956804157,0.2956636005256242,0.29781601588352086,0.22690437601296598
201,LU,2015,0.11609907120743033,0.1554001554001554,0.04055150040551501,0.12033694344163659,0.19319938176197837,0.04,0.15810276679841898,0.23446658851113714,0.15337423312883436,0.07920792079207921,0.19661816751867872,0.3211561621838619,0.19825535289452814,0.0,0.27483313702394974,0.0,0.3938558487593541,0.11609907120743033,0.19312475859405176,0.3618817852834741,0.11632415664986429,0.1996805111821086,0.19692792437967704,0.0,0.08120178643930166,0.11664074650077762,0.15527950310559005,0.11538461538461539,0.12033694344163659,0.12185215272136475
202,LU,2016,0.8607198748043818,0.8895478131949592,0.7313317936874518,0.6984866123399301,0.680786686838124,0.5626406601650412,0.794251134644478,0.6037735849056604,0.9108159392789373,0.7954545454545454,0.5453837164004675,0.6127920337035618,0.5718642775447961,0.5643340857787811,0.4136893569010906,0.5488043904351235,0.6012777151446824,0.5630630630630631,0.6046863189720333,0.6277695716395865,0.7515971439308531,0.6102212051868803,0.7210626185958254,0.6184770003865481,0.5319148936170213,1.0258358662613982,0.597237775289287,0.8368200836820083,0.6915097963887822,0.28022417934347477
203,LU,2017,1.5625,2.564102564102564,1.9305019305019304,1.7605633802816902,1.556420233463035,2.8368794326241136,1.1235955056179776,1.8050541516245486,0.7017543859649122,1.8867924528301887,0.37453183520599254,0.35335689045936397,1.7985611510791366,2.631578947368421,1.083032490974729,1.556420233463035,1.532567049808429,2.142857142857143,0.36496350364963503,2.6119402985074625,0.8403361344537815,0.6734006734006733,1.5267175572519083,1.1320754716981132,1.083032490974729,0.7604562737642585,2.93040293040293,0.7722007722007722,0.7547169811320755,0.3731343283582089
204,LU,2018,0.28328611898017,1.8575851393188854,1.4925373134328357,2.2346368715083798,2.631578947368421,0.847457627118644,1.0638297872340425,1.7191977077363898,1.7543859649122806,1.5060240963855422,1.9886363636363635,1.0526315789473684,1.7857142857142856,0.5154639175257731,0.3058103975535168,1.1267605633802817,0.9375,1.8518518518518516,1.912568306010929,1.7241379310344827,1.7647058823529411,1.2121212121212122,2.4390243902439024,1.2269938650306749,2.0289855072463765,0.8595988538681949,0.5319148936170213,0.5952380952380952,0.8620689655172413,1.2084592145015105
205,LU,2019,1.4245014245014245,2.6627218934911245,1.8072289156626504,1.5432098765432098,2.046783625730994,1.0723860589812333,1.2012012012012012,1.5228426395939088,1.3404825737265416,2.108433734939759,1.4749262536873156,2.5495750708215295,2.793296089385475,0.5714285714285714,1.4577259475218658,1.9073569482288828,1.749271137026239,1.0554089709762533,1.7804154302670623,1.5228426395939088,1.5384615384615385,2.1739130434782608,0.8902077151335311,1.7191977077363898,1.9607843137254901,1.4792899408284024,0.8670520231213872,1.1730205278592376,1.1019283746556474,3.35195530726257
206,LU,2020,4.8517520215633425,6.128133704735376,6.197183098591549,6.561679790026247,5.88235294117647,7.235142118863049,8.21529745042493,7.462686567164178,6.686046511627906,6.424581005586592,6.779661016949152,4.8,7.1022727272727275,6.78391959798995,5.540897097625329,7.492795389048991,5.042016806722689,7.552083333333333,6.36604774535809,4.3478260869565215,4.722222222222222,7.4866310160427805,4.5822102425876015,5.852417302798982,4.891304347826087,4.567307692307692,4.973821989528796,6.417112299465241,5.684754521963824,5.128205128205128
207,LV,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,LV,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,LV,2012,0.0,0.0,0.0,0.0,0.10449320794148381,0.0,0.0,0.10384215991692627,0.0,0.0,0.0,0.0,0.10787486515641855,0.0,0.0,0.1111111111111111,0.0,0.1092896174863388,0.0,0.0,0.10787486515641855,0.0,0.0,0.10559662090813093,0.0,0.10660980810234541,0.0,0.0,0.10845986984815618,0.10405827263267431
210,LV,2013,0.351288056206089,0.0,0.12594458438287154,0.11737089201877934,0.24242424242424243,0.0,0.11778563015312131,0.24906600249066002,0.11655011655011654,0.23894862604540024,0.11976047904191617,0.24242424242424243,0.0,0.0,0.12285012285012285,0.11750881316098707,0.12360939431396785,0.1251564455569462,0.12594458438287154,0.0,0.12165450121654502,0.0,0.0,0.12484394506866417,0.24154589371980675,0.24067388688327318,0.23391812865497078,0.0,0.23894862604540024,0.1199040767386091
211,LV,2014,0.24390243902439024,0.25,0.13386880856760375,0.0,0.0,0.25252525252525254,0.0,0.12886597938144329,0.0,0.0,0.2352941176470588,0.1310615989515072,0.0,0.1201923076923077,0.12642225031605564,0.12836970474967907,0.0,0.0,0.0,0.0,0.0,0.0,0.12422360248447205,0.0,0.12345679012345678,0.0,0.0,0.0,0.0,0.0
212,LV,2015,0.28776978417266186,0.14204545454545456,0.267379679144385,0.0,0.13793103448275862,0.0,0.4431314623338257,0.44576523031203563,0.14104372355430184,0.273972602739726,0.14367816091954022,0.1394700139470014,0.0,0.29239766081871343,0.13869625520110956,0.14388489208633093,0.5471956224350205,0.0,0.29282576866764276,0.1440922190201729,0.26109660574412535,0.44510385756676557,0.14306151645207438,0.2702702702702703,0.30075187969924816,0.0,0.0,0.13210039630118892,0.1400560224089636,0.14245014245014245
