,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
7492,239992,pl,,toyota-daihatsu group,toyota,toyota motor europe nv sa,,,ab1,kgb10(g),kgb10l-agmrkw(1j),toyota,aygo,m1,,4.0,911.0,,105.0,,2340.0,2340.0,,petrol,m,998.0,50.0,,,,,,,f,2011,,,
323093,299418,gb,,,fiat group automobiles spa,fiat group automobiles spa,fiat,e3*2001-116*0278*04,955,axm1a,9,alfa romeo,alfa mito,m1,,38.0,1210.0,,129.0,,2511.0,1483.0,1475.0,petrol,m,1368.0,99.0,,,,,,,f,2011,,,
141662,289563,gb,,,bmw ag,bayerische motoren werke ag,bmw,,1k4,uh52,5a,bmw,116d sport,m1,,1.0,1380.0,,118.0,,2660.0,1484.0,1497.0,diesel,m,1995.0,,,,,,,,f,2011,,,
190221,28708,be,,,opel,adam opel ag,opel,e1*2001-116*0379*19,s-d,bn11,1aaba690bda5,opel,corsa,m1,,2.0,1141.0,,129.0,,2511.0,1485.0,1478.0,petrol,m,1229.0,63.0,,,,,,,f,2011,,,
230282,184279,lv,,,fuji heavy industries,fuji heavy industries ltd,fuji heavy industries,e13*2001-116*0982*06,sh,shd,0k0,subaru,forester,m1,,2.0,1615.0,,167.0,,2615.0,1530.0,1530.0,diesel,m,1998.0,108.0,,,,,,,f,2011,,,
87401,39468,cy,,daimler ag,daimler ag,daimler ag,,,463,c7bam1,nzaaa500,mercedes,g 350 bluetec,m1,,1.0,2580.0,,295.0,,2850.0,1475.0,1555.0,diesel,m,,,,,,,,,f,2011,,,
33669,203588,nl,,vw group pc,skoda,skoda auto as,skoda auto a.s.,e11*2001-116*0326*17,3t,accffbx01,nfm6fm62q025w0,skoda,superb,m1,,10.0,1569.0,,145.0,,2758.0,1545.0,1518.0,diesel,,1968.0,103.0,,,,,,,f,2011,,,
162567,150763,it,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*0436*01,4g,scducq1,qd7b5027r4g707mgem2,audi,audi a7,m1,,415.0,1860.0,,158.0,,2922.0,1645.0,,diesel,m,2967.0,180.0,,,,,,,f,2011,,,
217766,114302,es,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,,c-2359,connect2,,,ford,transit,m1,,1.0,1589.0,,159.0,,,,,diesel,m,1753.0,,,,,,,,f,2011,,,
7399,239899,pl,,suzuki,suzuki motor corporation,suzuki motor corporation,,,fj,b43v,5mt,suzuki,jimny,m1,,1.0,1135.0,,162.0,,1600.0,1600.0,,petrol,m,1328.0,63.0,,,,,,,f,2011,,,
